26.11.2018                        Dynamic List Display                               1
--------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------
|BUKRS|LIFNR |GJAHR|BELNR     |BUZEI|BLDAT     |XBLNR           |BLART|         DMBTR|
--------------------------------------------------------------------------------------
|C04  |103957| 2018|203369388 |    2|16.09.2018|HBSCSTATSEP18_2 |EJ   |     7,368.49 |
|C04  |103957| 2018|203395591 |    2|14.10.2018|HSBDSTATOCT18_2 |EJ   |     5,575.38 |
|C04  |106451| 2018|203395590 |    2|14.10.2018|HSBDSTATOCT18_1 |EJ   |     2,509.45 |
|C04  |106530| 2018|203369131 |    3|16.09.2018|HSBDSTATSEPT2018|EJ   |     2,705.24 |
|C04  |106530| 2018|203392535 |    5|14.10.2018|HSBDSTATOCT18   |EJ   |       804.40 |
|C04  |108625| 2018|203382367 |    2|27.09.2018|OPEX FLOAT-ADD  |EJ   |     2,000.00 |
|C04  |331353| 2018|203369131 |    4|16.09.2018|HSBDSTATSEPT2018|EJ   |     2,411.00 |
|C04  |331353| 2018|203392535 |    6|14.10.2018|HSBDSTATOCT18   |EJ   |       463.00 |
|C04  |332235| 2018|203392535 |    3|14.10.2018|HSBDSTATOCT18   |EJ   |     1,914.75 |
|C04  |332878| 2018|203369131 |    2|16.09.2018|HSBDSTATSEPT2018|EJ   |     4,076.47 |
|C04  |332878| 2018|203392535 |    4|14.10.2018|HSBDSTATOCT18   |EJ   |     6,872.42 |
|C04  |333220| 2018|203392535 |    2|14.10.2018|HSBDSTATOCT18   |EJ   |     1,283.14 |
|C04  |334743| 2018|203369131 |    5|16.09.2018|HSBDSTATSEPT2018|EJ   |     2,160.60 |
|C04  |334748| 2018|203392535 |    7|14.10.2018|HSBDSTATOCT18   |EJ   |         8.31 |
|C04  |334749| 2018|203369395 |    2|20.09.2018|PETTYCASH FLOAT |EJ   |     1,000.00 |
|C04  |334749| 2018|203369394 |    2|20.09.2018|PETTYCASH SMANJ |EJ   |     3,000.00 |
|C04  |334758| 2018|203372152 |    2|27.09.2018|PC COMP ECO CHE |EJ   |     3,000.00 |
|C04  |334758| 2018|203372154 |    2|27.09.2018|PC FLOAT        |EJ   |     2,000.00 |
|C04  |300053| 2018|5100489142|    1|09.10.2018|18069041        |RE   |     2,944.48 |
|C04  |300148| 2018|203390557 |    1|17.05.2018|I-I1718/378R1   |EJ   |       912.66 |
|C04  |300148| 2018|203390519 |    1|27.06.2018|I-I1718/409R    |EJ   |     1,896.00 |
|C04  |300148| 2018|203390515 |    1|11.07.2018|I-I1718/432R    |EJ   |       287.00 |
|C04  |300148| 2018|203390522 |    1|11.07.2018|I-I1718/438R    |EJ   |       670.00 |
|C04  |300148| 2018|203390524 |    1|31.07.2018|I-I1718/472R    |EJ   |       560.00 |
|C04  |300148| 2018|203390559 |    1|31.07.2018|I-I1718/475R    |EJ   |       150.00 |
|C04  |300148| 2018|203390860 |    1|09.08.2018|I-I1819/007R    |EJ   |       756.00 |
|C04  |300148| 2018|203390861 |    1|17.08.2018|I-I1819/009     |EJ   |     1,008.00 |
|C04  |300148| 2018|203396586 |    1|18.09.2018|I-I1819/035     |EJ   |     3,228.00 |
|C04  |300148| 2018|203398997 |    1|18.09.2018|I-I1819/036R    |EJ   |     1,236.00 |
|C04  |300148| 2018|203399422 |    1|27.09.2018|I-I1819/039R    |EJ   |     2,472.00 |
|C04  |300148| 2018|203390558 |    1|09.10.2018|I-I1819/089     |EJ   |     1,008.00 |
