BUKRS,LIFNR,GJAHR,BELNR,BUZEI,BLDAT_1,XBLNR,BLART,DMBTR,BLDAT
C04  ,108625,2018,203382367,2,,OPEX FLOAT-ADD  ,EJ   ,2000,27/9/2018
C04  ,331353,2018,203369131,4,,HSBDSTATSEPT2018,EJ   ,2411,16/9/2018
C04  ,331353,2018,203392535,6,,HSBDSTATOCT18   ,EJ   ,463,14/10/2018
C04  ,332235,2018,203392535,3,,HSBDSTATOCT18   ,EJ   ,1914.75,14/10/2018
C04  ,332878,2018,203369131,2,,HSBDSTATSEPT2018,EJ   ,4076.47,16/9/2018
C04  ,332878,2018,203392535,4,,HSBDSTATOCT18   ,EJ   ,6872.4199,14/10/2018
C04  ,333220,2018,203392535,2,,HSBDSTATOCT18   ,EJ   ,1283.14,14/10/2018
C04  ,334743,2018,203369131,5,,HSBDSTATSEPT2018,EJ   ,2160.6001,16/9/2018
C04  ,334748,2018,203392535,7,,HSBDSTATOCT18   ,EJ   ,8.3100004,14/10/2018
C04  ,334749,2018,203369395,2,,PETTYCASH FLOAT ,EJ   ,1000,20/9/2018
C04  ,334749,2018,203369394,2,,PETTYCASH SMANJ ,EJ   ,3000,20/9/2018
C04  ,334758,2018,203372152,2,,PC COMP ECO CHE ,EJ   ,3000,27/9/2018
C04  ,334758,2018,203372154,2,,PC FLOAT        ,EJ   ,2000,27/9/2018
C04  ,300053,2018,5100489142,1,,18069041        ,RE   ,2944.48,9/10/2018
C04  ,300148,2018,203390557,1,,I-I1718/378R1   ,EJ   ,912.65997,17/5/2018
C04  ,300148,2018,203390519,1,,I-I1718/409R    ,EJ   ,1896,27/6/2018
C04  ,300148,2018,203390515,1,,I-I1718/432R    ,EJ   ,287,11/7/2018
C04  ,300148,2018,203390522,1,,I-I1718/438R    ,EJ   ,670,11/7/2018
C04  ,300148,2018,203390524,1,,I-I1718/472R    ,EJ   ,560,31/7/2018
C04  ,300148,2018,203390559,1,,I-I1718/475R    ,EJ   ,150,31/7/2018
C04  ,300148,2018,203390860,1,,I-I1819/007R    ,EJ   ,756,9/8/2018
C04  ,300148,2018,203390861,1,,I-I1819/009     ,EJ   ,1008,17/8/2018
C04  ,300148,2018,203396586,1,,I-I1819/035     ,EJ   ,3228,18/9/2018
C04  ,300148,2018,203398997,1,,I-I1819/036R    ,EJ   ,1236,18/9/2018
C04  ,300148,2018,203399422,1,,I-I1819/039R    ,EJ   ,2472,27/9/2018
C04  ,300148,2018,203390558,1,,I-I1819/089     ,EJ   ,1008,9/10/2018
C04  ,300148,2018,203391096,1,,I-I1819/097     ,EJ   ,1019,16/10/2018
C04  ,300148,2018,203396041,1,,I-I1819/100     ,EJ   ,1080.4,18/10/2018
C04  ,300148,2018,203396044,1,,I-I1819/099     ,EJ   ,1080.4,18/10/2018
C04  ,300148,2018,203396227,1,,I-I1819/105     ,EJ   ,1080,22/10/2018
C04  ,300303,2018,203399074,1,,MCPA-CONSO-0918 ,EJ   ,2660.8,9/10/2018
C04  ,300392,2018,203371543,1,,ECPA/AUG2018Z   ,EJ   ,3201.6001,21/9/2018
