_key_in,_key_out,_score,BUKRS,LIFNR,GJAHR,BELNR,BUZEI,XBLNR,BLART,DMBTR,BLDAT,BLDAT_clean,DMBTR_clean,XBLNR_clean,LIFNR_clean,_Similarity_XBLNR
1,1,1,C04  ,108625,2018,203382367,2,OPEX FLOAT-ADD  ,EJ   ,2000,2018-09-27 00:00:00,2018-09-27 00:00:00,2000,OPEX FLOAT-ADD  ,108625,1
2,2,1,C04  ,331353,2018,203369131,4,HSBDSTATSEPT2018,EJ   ,2411,2018-09-16 00:00:00,2018-09-16 00:00:00,2411,HSBDSTATSEPT2018,331353,1
3,3,1,C04  ,331353,2018,203392535,6,HSBDSTATOCT18   ,EJ   ,463,2018-10-14 00:00:00,2018-10-14 00:00:00,463,HSBDSTATOCT18   ,331353,1
4,4,1,C04  ,332235,2018,203392535,3,HSBDSTATOCT18   ,EJ   ,1914.75,2018-10-14 00:00:00,2018-10-14 00:00:00,1914.75,HSBDSTATOCT18   ,332235,1
5,5,1,C04  ,332878,2018,203369131,2,HSBDSTATSEPT2018,EJ   ,4076.47,2018-09-16 00:00:00,2018-09-16 00:00:00,4076.47,HSBDSTATSEPT2018,332878,1
6,6,1,C04  ,332878,2018,203392535,4,HSBDSTATOCT18   ,EJ   ,6872.4199,2018-10-14 00:00:00,2018-10-14 00:00:00,6872.4199,HSBDSTATOCT18   ,332878,1
7,7,1,C04  ,333220,2018,203392535,2,HSBDSTATOCT18   ,EJ   ,1283.14,2018-10-14 00:00:00,2018-10-14 00:00:00,1283.14,HSBDSTATOCT18   ,333220,1
8,8,1,C04  ,334743,2018,203369131,5,HSBDSTATSEPT2018,EJ   ,2160.6001,2018-09-16 00:00:00,2018-09-16 00:00:00,2160.6001,HSBDSTATSEPT2018,334743,1
9,9,1,C04  ,334748,2018,203392535,7,HSBDSTATOCT18   ,EJ   ,8.3100004,2018-10-14 00:00:00,2018-10-14 00:00:00,8.3100004,HSBDSTATOCT18   ,334748,1
10,10,1,C04  ,334749,2018,203369395,2,PETTYCASH FLOAT ,EJ   ,1000,2018-09-20 00:00:00,2018-09-20 00:00:00,1000,PETTYCASH FLOAT ,334749,1
11,11,1,C04  ,334749,2018,203369394,2,PETTYCASH SMANJ ,EJ   ,3000,2018-09-20 00:00:00,2018-09-20 00:00:00,3000,PETTYCASH SMANJ ,334749,1
12,12,1,C04  ,334758,2018,203372152,2,PC COMP ECO CHE ,EJ   ,3000,2018-09-27 00:00:00,2018-09-27 00:00:00,3000,PC COMP ECO CHE ,334758,1
13,13,1,C04  ,334758,2018,203372154,2,PC FLOAT        ,EJ   ,2000,2018-09-27 00:00:00,2018-09-27 00:00:00,2000,PC FLOAT        ,334758,1
14,14,1,C04  ,300053,2018,5100489142,1,18069041        ,RE   ,2944.48,2018-10-09 00:00:00,2018-10-09 00:00:00,2944.48,18069041        ,300053,1
15,15,1,C04  ,300148,2018,203390557,1,I-I1718/378R1   ,EJ   ,912.65997,2018-05-17 00:00:00,2018-05-17 00:00:00,912.65997,I-I1718/378R1   ,300148,1
16,16,1,C04  ,300148,2018,203390519,1,I-I1718/409R    ,EJ   ,1896,2018-06-27 00:00:00,2018-06-27 00:00:00,1896,I-I1718/409R    ,300148,1
17,17,1,C04  ,300148,2018,203390515,1,I-I1718/432R    ,EJ   ,287,2018-07-11 00:00:00,2018-07-11 00:00:00,287,I-I1718/432R    ,300148,1
18,18,1,C04  ,300148,2018,203390522,1,I-I1718/438R    ,EJ   ,670,2018-07-11 00:00:00,2018-07-11 00:00:00,670,I-I1718/438R    ,300148,1
19,19,1,C04  ,300148,2018,203390524,1,I-I1718/472R    ,EJ   ,560,2018-07-31 00:00:00,2018-07-31 00:00:00,560,I-I1718/472R    ,300148,1
20,20,1,C04  ,300148,2018,203390559,1,I-I1718/475R    ,EJ   ,150,2018-07-31 00:00:00,2018-07-31 00:00:00,150,I-I1718/475R    ,300148,1
21,21,1,C04  ,300148,2018,203390860,1,I-I1819/007R    ,EJ   ,756,2018-08-09 00:00:00,2018-08-09 00:00:00,756,I-I1819/007R    ,300148,1
22,22,1,C04  ,300148,2018,203390861,1,I-I1819/009     ,EJ   ,1008,2018-08-17 00:00:00,2018-08-17 00:00:00,1008,I-I1819/009     ,300148,1
23,23,1,C04  ,300148,2018,203396586,1,I-I1819/035     ,EJ   ,3228,2018-09-18 00:00:00,2018-09-18 00:00:00,3228,I-I1819/035     ,300148,1
24,24,1,C04  ,300148,2018,203398997,1,I-I1819/036R    ,EJ   ,1236,2018-09-18 00:00:00,2018-09-18 00:00:00,1236,I-I1819/036R    ,300148,1
25,25,1,C04  ,300148,2018,203399422,1,I-I1819/039R    ,EJ   ,2472,2018-09-27 00:00:00,2018-09-27 00:00:00,2472,I-I1819/039R    ,300148,1
26,26,1,C04  ,300148,2018,203390558,1,I-I1819/089     ,EJ   ,1008,2018-10-09 00:00:00,2018-10-09 00:00:00,1008,I-I1819/089     ,300148,1
27,27,1,C04  ,300148,2018,203391096,1,I-I1819/097     ,EJ   ,1019,2018-10-16 00:00:00,2018-10-16 00:00:00,1019,I-I1819/097     ,300148,1
28,28,1,C04  ,300148,2018,203396041,1,I-I1819/100     ,EJ   ,1080.4,2018-10-18 00:00:00,2018-10-18 00:00:00,1080.4,I-I1819/100     ,300148,1
29,29,1,C04  ,300148,2018,203396044,1,I-I1819/099     ,EJ   ,1080.4,2018-10-18 00:00:00,2018-10-18 00:00:00,1080.4,I-I1819/099     ,300148,1
30,30,1,C04  ,300148,2018,203396227,1,I-I1819/105     ,EJ   ,1080,2018-10-22 00:00:00,2018-10-22 00:00:00,1080,I-I1819/105     ,300148,1
31,31,1,C04  ,300303,2018,203399074,1,MCPA-CONSO-0918 ,EJ   ,2660.8,2018-10-09 00:00:00,2018-10-09 00:00:00,2660.8,MCPA-CONSO-0918 ,300303,1
32,32,1,C04  ,300392,2018,203371543,1,ECPA/AUG2018Z   ,EJ   ,3201.6001,2018-09-21 00:00:00,2018-09-21 00:00:00,3201.6001,ECPA/AUG2018Z   ,300392,1
33,33,1,C04  ,300392,2018,203371569,1,ECPACRT/AUG2018Z,EJ   ,2.3199999,2018-09-21 00:00:00,2018-09-21 00:00:00,2.3199999,ECPACRT/AUG2018Z,300392,1
34,34,1,C04  ,300392,2018,203396165,1,ECPA/SEP2018Z   ,EJ   ,4520.23,2018-10-19 00:00:00,2018-10-19 00:00:00,4520.23,ECPA/SEP2018Z   ,300392,1
35,35,1,C04  ,300392,2018,203396187,1,ECPACRT/SEP2018Z,EJ   ,1.45,2018-10-19 00:00:00,2018-10-19 00:00:00,1.45,ECPACRT/SEP2018Z,300392,1
36,36,1,C04  ,300533,2018,5100485848,1,9130076974      ,RE   ,21865.1,2018-09-07 00:00:00,2018-09-07 00:00:00,21865.1,9130076974      ,300533,1
37,37,1,C04  ,300533,2018,5100484052,1,9130074431      ,RE   ,19288.4,2018-06-07 00:00:00,2018-06-07 00:00:00,19288.4,9130074431      ,300533,1
38,38,1,C04  ,300533,2018,5100482208,1,9130075323      ,RE   ,52100,2018-07-18 00:00:00,2018-07-18 00:00:00,52100,9130075323      ,300533,1
39,39,1,C04  ,300533,2018,5100483805,1,9130075801      ,RE   ,4704.3999,2018-08-02 00:00:00,2018-08-02 00:00:00,4704.3999,9130075801      ,300533,1
40,40,1,C04  ,300533,2018,5100484053,1,9130075860      ,RE   ,16198.55,2018-08-06 00:00:00,2018-08-06 00:00:00,16198.55,9130075860      ,300533,1
41,41,1,C04  ,300533,2018,5100482970,1,9130075948      ,RE   ,597.59998,2018-08-07 00:00:00,2018-08-07 00:00:00,597.59998,9130075948      ,300533,1
42,42,1,C04  ,300533,2018,5100484755,1,9130076032      ,RE   ,2247.8,2018-08-13 00:00:00,2018-08-13 00:00:00,2247.8,9130076032      ,300533,1
43,43,1,C04  ,300533,2018,5100481531,1,9130076204      ,RE   ,16307.7,2018-08-21 00:00:00,2018-08-21 00:00:00,16307.7,9130076204      ,300533,1
44,44,1,C04  ,300533,2018,5100481532,1,9130076205      ,RE   ,19288.4,2018-08-21 00:00:00,2018-08-21 00:00:00,19288.4,9130076205      ,300533,1
45,45,1,C04  ,300533,2018,5100481533,1,9130076206      ,RE   ,21865.1,2018-08-21 00:00:00,2018-08-21 00:00:00,21865.1,9130076206      ,300533,1
46,46,1,C04  ,300533,2018,5100481534,1,9130076208      ,RE   ,18617.5,2018-08-21 00:00:00,2018-08-21 00:00:00,18617.5,9130076208      ,300533,1
47,47,1,C04  ,300533,2018,5100481535,1,9130076209      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076209      ,300533,1
