_key_out,Count all
56,4
57,10
67,3
68,9
77,6
92,4
99,5
105,4
109,3
114,2
115,2
119,2
129,2
138,2
140,2
142,3
143,3
160,2
162,2
168,3
169,2
175,4
181,3
190,2
192,2
193,2
200,2
204,2
207,2
217,2
222,2
223,2
234,2
243,2
245,2
247,2
253,2
261,2
262,4
274,2
279,2
285,3
293,2
307,2
311,4
316,4
328,2
336,2
346,2
361,2
362,2
367,6
380,2
381,5
388,2
394,2
398,3
402,2
404,3
408,3
412,2
413,2
427,2
429,2
431,2
433,2
442,3
445,2
448,4
459,3
464,2
466,2
474,2
480,2
485,3
487,3
505,3
510,2
512,3
519,3
528,2
530,3
532,2
537,2
542,3
555,2
560,2
564,2
568,3
571,2
573,2
585,5
591,2
593,2
596,3
600,2
615,2
617,7
620,4
630,2
634,2
642,6
649,2
651,5
657,5
667,2
669,4
672,2
681,3
685,4
689,2
692,3
699,3
701,3
703,2
709,4
716,4
724,2
725,2
726,2
735,2
738,2
745,3
746,2
751,2
766,4
780,2
785,2
790,2
792,2
794,2
807,2
809,2
811,3
819,3
823,2
825,2
826,2
856,2
868,3
871,2
872,2
878,2
883,2
888,2
895,4
922,4
928,2
943,2
944,3
953,3
959,2
964,5
971,3
974,5
979,2
984,3
988,2
1004,4
1009,3
1013,5
1021,3
1023,2
1027,2
1032,7
1037,2
1046,5
1048,2
1052,2
1066,9
1074,3
1079,2
1083,3
1086,6
1104,6
1109,4
1115,4
1121,2
1123,5
1126,2
1132,8
1139,8
1148,2
1152,5
1172,2
1173,6
1179,7
1190,7
1201,6
1208,5
1226,9
1249,2
1275,10
1295,10
1305,6
1311,2
1320,8
1343,3
1346,4
1352,4
1356,5
1363,4
1374,2
1388,3
1396,6
1413,6
1417,8
1424,2
1425,3
1432,2
1434,2
1439,2
1455,6
1469,6
1472,8
1480,7
1504,2
1517,2
1523,4
1530,11
1537,4
1545,3
1552,2
1559,9
1571,4
1578,10
1601,10
1608,10
1625,14
1627,6
1635,11
1642,7
1649,2
1651,6
1664,4
1721,2
1723,4
1724,2
1982,2
2168,2
2176,2
2629,2
2680,3
2688,2
2690,3
2698,2
2855,2
2856,2
2872,3
2881,2
2883,3
2890,2
2940,2
2950,2
2952,2
2973,2
3001,2
3044,3
3058,2
3060,2
3069,2
3083,2
3090,2
3091,2
3111,4
3146,6
3153,2
3156,3
3161,2
3163,5
3165,2
3168,2
3170,3
3175,2
3176,2
3177,2
3178,4
3181,4
3194,2
3288,2
3303,2
3308,2
3331,2
3340,2
3367,2
3387,2
3391,2
3474,2
3494,2
3512,2
3518,2
3568,2
3582,2
3594,2
3599,2
3607,2
3614,3
3615,3
3624,2
3628,2
3634,3
3657,2
3664,2
3665,2
3673,2
3677,2
3684,2
3690,2
3697,4
3704,3
3708,2
3717,2
3725,2
3726,2
3741,2
3766,2
3770,2
3771,2
3784,2
3789,2
3793,3
3797,2
3805,2
3806,2
3807,2
3810,2
3813,2
3814,2
3824,2
3832,3
3841,2
3884,2
3892,2
3897,2
3907,2
3934,2
3959,2
4006,2
4020,2
4028,5
4032,2
4035,2
4043,2
4048,2
4059,2
4095,2
4096,3
4102,2
4105,2
4106,2
4110,2
4113,2
4129,2
4131,2
4135,2
4138,2
4142,2
4156,2
4161,2
4173,2
4176,2
4202,2
4210,2
4214,2
4224,3
4239,2
4244,2
4246,2
4247,2
4281,2
4283,2
4291,2
4295,2
4297,2
4302,2
4308,2
4312,2
4313,6
4318,2
4356,2
4384,2
4403,2
4425,2
4450,5
4455,2
4461,2
4463,2
4464,2
4482,4
4499,3
4502,2
4531,2
4536,2
4548,2
4554,4
4556,3
4565,3
4576,4
4577,2
4581,3
4586,3
4587,4
4604,4
4607,3
4611,3
4618,2
4649,3
4660,3
4673,2
4699,2
4720,3
4721,2
4725,8
4731,3
4748,2
4752,2
4753,2
4768,4
4810,2
4813,4
4829,2
4835,2
4870,2
4874,2
4876,2
4881,2
4882,2
4897,6
4902,2
4908,2
4921,2
4931,4
4936,2
4962,3
4975,2
4995,2
4999,2
5001,2
5004,2
5021,2
5035,3
5046,4
5054,2
5056,3
5059,2
5062,2
5069,4
5078,2
5092,2
5105,2
5108,2
5118,4
5120,5
5122,7
5123,4
5158,2
5163,2
5165,2
5182,4
5195,2
5202,2
5209,2
5245,2
5247,2
5264,3
5267,2
5288,2
5304,2
5324,2
5333,2
5350,2
5362,3
5367,2
5379,3
5393,4
5403,2
5405,2
5411,2
5422,3
5437,2
5441,4
5450,3
5485,3
5496,2
5499,2
5502,2
5503,2
5513,2
5663,2
5715,2
5768,10
5778,2
5798,2
5809,3
5825,2
5826,3
5833,2
5840,2
5846,2
5854,4
5855,2
6152,2
6218,2
6334,4
6367,9
6370,3
6371,2
6372,3
6377,4
6386,5
6689,2
6700,2
6739,2
6743,3
6753,2
6759,2
7163,2
7164,2
7165,3
7166,2
7167,2
7168,2
7169,2
7170,2
7171,2
7173,6
7262,2
7267,2
